File,aid,Date,14,18,68,72,74,273,277,1050,1054,2061,2062,2065,2066,2070,2111,2116,2118,2120,2122,2175,2185,2186,2189,2190,2239,2257,2258,2261,2262,2266,2303,2321,2322,2325,2326,2367,2376,2378,2380,2382,2431,2445,2446,2449,2450,2495,2517,2518,2521,2522,2526,2559,3098,3102,3135,3154,3158,3199,3222,3226,3263,3294,3298,3302,3327,3358,3362,3391,3414,3418,3455,3482,3486,3519,3554,3558,3562,3583,4109,4110,4113,4114,4118,4159,4164,4166,4168,4170,4172,4174,4223,4237,4287,4369,4370,4373,4374,4377,4378,4415,5146,5150,5154,5183,5202,5206,5210,5247,5274,5406,5410,5414,5439,6157,6158,6161,6162,6166,6207,6212,6214,6216,6218,6220,6222,6271,6285,6335,6353,6357,6361,6399,6417,6418,6421,6422,6425,6426,6463,6472,6613,6614,6617,6618,6655,7194,7198,7202,7231,7250,7254,7258,7295,7322,7390,7394,7398,7423,7454,7458,7462,7487,7551,7650,7654,7658,7679,33050,33053,33054,34086,34837,34838,34841,34842,34879,34892,34894,34896,34898,34943,34961,34962,34965,34966,35007,35033,35034,35037,35038,35042,35071,35097,35098,35101,35102,35135,35152,35154,35156,35158,35199,35221,35222,35225,35226,35263,35293,35294,35297,35298,35327,35874,35878,35930,35934,35967,35998,36002,36031,36070,36074,36095,36134,36138,36159,36190,36194,36223,36258,36262,36287,36330,36334,36351,36885,36886,36889,36890,36927,36940,36942,36944,36946,36948,36950,36991,37013,37145,37146,37149,37150,37153,37154,37183,37922,37926,37951,37978,37982,37986,38015,38182,38186,38190,38207,38933,38934,38937,38938,38942,38975,38988,38990,38992,38994,38996,38998,39039,39061,39129,39130,39133,39167,39193,39194,39197,39198,39201,39202,39231,39248,39389,39390,39393,39394,39423,39970,39974,39999,40026,40030,40034,40063,40098,40166,40170,40191,40230,40234,40238,40255,40286,40319,40426,40430,40434,40447,51199
_250m_16_days_VI_Quality_2022353_aid0001,aid0001,2022-12-19 00:00:00+00:00,,,,,,,,,,,93.0,,24.0,,7.0,36.0,,,,,31499.0,,,,2.0,50996.0,4775.0,108.0,412.0,,38.0,,,,,,,,,,,56.0,,,,,730.0,468.0,4.0,16.0,,13.0,250.0,12.0,14.0,24.0,,,13784.0,88.0,,44759.0,308.0,,66.0,,,,,,,16.0,,,394.0,9.0,,4.0,,2048,,2424,,935,46547.0,3212.0,19240.0,4293.0,,,133.0,,,6185,684.0,845.0,784.0,,,395.0,1741,1071,,446.0,29797.0,8885.0,,30.0,,3077.0,936.0,,123.0,,5893,,1685,,5623,6090.0,575.0,1188.0,160.0,,,155.0,,,5.0,,,,2931.0,108.0,437.0,443.0,,,252.0,,,,,,11.0,4663,1849,,887.0,3155.0,797.0,,20.0,,,,,,912.0,697.0,,58.0,,,12.0,,2.0,,,,,,,,,,,,,,,,,,,,227.0,281.0,24.0,,,94.0,,,,,,,,,,,16.0,,,,,100.0,310.0,4.0,,25.0,,,,,,,,,284.0,8.0,56.0,,,,,,,,,,258.0,,17.0,,,,,,1645.0,339.0,792.0,208.0,,,141.0,,1647.0,439.0,259.0,872.0,,,782.0,,,,1454.0,374.0,,106.0,2574.0,574,,415.0,,44.0,,24.0,,,1050.0,83.0,514.0,292.0,,,69.0,,6.0,,,,2847.0,343.0,262.0,516.0,,,211.0,,10.0,,3.0,,19.0,,,,620.0,495.0,,13.0,,,,,1841.0,830.0,,165.0,,,,,,,3341
_250m_16_days_VI_Quality_2023001_aid0001,aid0001,2023-01-01 00:00:00+00:00,,,,,,,,,,,377.0,,,,282.0,18216.0,,,,,151511.0,24.0,276.0,204.0,61.0,4626.0,971.0,207.0,12.0,,247.0,24.0,,,,,154.0,,,,2.0,1503.0,,17.0,8.0,6.0,518.0,40.0,4.0,,,10.0,95.0,8.0,38.0,559.0,,,3116.0,712.0,,1703.0,48.0,,82.0,,,,4.0,,,122.0,28.0,,155.0,12.0,,,,3352,,987,,2312,51557.0,3262.0,3665.0,417.0,,,406.0,,,7359,591.0,1026.0,208.0,,,333.0,2015,1081,,575.0,10990.0,1762.0,,28.0,,3238.0,920.0,,74.0,,6992,,1322,,8292,8379.0,330.0,299.0,168.0,,,245.0,,,,,,,3621.0,199.0,231.0,77.0,,,185.0,,,,,,,5022,1649,,1490.0,1571.0,363.0,,,,,,,,686.0,251.0,,41.0,,,10.0,,8.0,,,,,,,,,,,,,,,314.0,,,,16.0,105.0,12.0,4.0,,,39.0,,,,,,,,,,,210.0,,,,17.0,71.0,46.0,,,135.0,,,,,,,,,22.0,28.0,10.0,,,,,,,1.0,,4.0,41.0,,19.0,,,,,,2543.0,104.0,711.0,32.0,,,88.0,,2448.0,458.0,205.0,182.0,,,491.0,,,,1078.0,503.0,,13.0,1949.0,661,,126.0,67.0,,,,,8.0,1814.0,56.0,181.0,44.0,,,23.0,,,2.0,,,3815.0,345.0,143.0,182.0,,,246.0,,17.0,,,,30.0,,,,331.0,292.0,,21.0,,7.0,53.0,15.0,1597.0,508.0,,69.0,,,16.0,,,10.0,3479
_250m_16_days_VI_Quality_2023017_aid0001,aid0001,2023-01-17 00:00:00+00:00,,,,,,,,,,,106.0,,,,133.0,6114.0,,,,,79638.0,,,,34.0,73123.0,21.0,395.0,4.0,,160.0,3.0,,,,,114.0,,,,,601.0,,,,6.0,480.0,4.0,16.0,,,,90.0,,,20.0,,,310.0,,,8202.0,950.0,,,,,,,,,32.0,,,508.0,32.0,,,8.0,1246,,971,,886,73085.0,399.0,4874.0,2834.0,,,410.0,,,6635,130.0,472.0,563.0,,,411.0,544,670,,228.0,6034.0,8399.0,,51.0,,1369.0,1212.0,,60.0,132.0,3850,,949,,7692,11188.0,136.0,1021.0,222.0,,,221.0,,,,51.0,,51.0,3268.0,32.0,280.0,466.0,,,235.0,,,,10.0,,23.0,830,2031,,415.0,1457.0,1877.0,,15.0,,,4.0,,20.0,571.0,1071.0,,40.0,,,14.0,,6.0,,,,,,,,,,,,,,,47.0,,,,36.0,203.0,,28.0,8.0,,34.0,,,,,,8.0,,,,,156.0,,,,21.0,174.0,2.0,4.0,,5.0,,,,,,10.0,,2.0,204.0,48.0,,,,,,,,3.0,,,211.0,12.0,1.0,,,,,,1967.0,16.0,331.0,204.0,,,98.0,,1969.0,532.0,213.0,822.0,,,959.0,,,,543.0,1068.0,,92.0,1459.0,1880,,354.0,43.0,,,,,5.0,1252.0,8.0,727.0,587.0,,,25.0,,6.0,,3.0,27.0,3111.0,224.0,260.0,430.0,,,341.0,,5.0,,17.0,,100.0,,,,131.0,546.0,,29.0,,,2.0,2.0,1317.0,1528.0,,67.0,,,,11.0,,65.0,3391
_250m_16_days_VI_Quality_2023033_aid0001,aid0001,2023-02-02 00:00:00+00:00,,,1.0,,,,,,,,73.0,48.0,,,267.0,5754.0,,666.0,,,170756.0,,128.0,,157.0,164.0,,,,,211.0,8.0,,,,,87.0,,,,,686.0,,4.0,,30.0,29.0,,,,,31.0,,27.0,,,4.0,,179.0,,41.0,,20.0,,32.0,,,,,,,,,,,,,,,672,8.0,268,,899,89931.0,,6009.0,332.0,,,952.0,,,3378,,546.0,111.0,,,895.0,73,497,,85.0,1022.0,1183.0,,92.0,,166.0,556.0,,80.0,45.0,4477,253.0,604,,5531,17695.0,,4240.0,280.0,,,654.0,,,2.0,7.0,,7.0,3390.0,,717.0,24.0,,,908.0,,,,,1.0,8.0,339,551,,143.0,253.0,862.0,,49.0,,,,,,150.0,514.0,,61.0,,,,,,,,,,,,8.0,,,,,,,,58.0,,,,2.0,12.0,,,,,20.0,,,,,,,,,,,108.0,,,,36.0,4.0,,,,20.0,,,,,,,,16.0,,,,,,,,,,,,20.0,12.0,,,,,8.0,,,1977.0,,627.0,,,,477.0,,1308.0,,203.0,74.0,,,822.0,,,,44.0,448.0,,33.0,70.0,408,,99.0,8.0,,24.0,,,564.0,1379.0,,725.0,80.0,,,161.0,,,,4.0,5.0,3139.0,4.0,628.0,91.0,,,1948.0,,3.0,,,9.0,42.0,8.0,32.0,,55.0,359.0,,4.0,,,,,112.0,333.0,,81.0,,,,9.0,,12.0,3437
_250m_16_days_VI_Quality_2023049_aid0001,aid0001,2023-02-18 00:00:00+00:00,,,,,,,,,,,67.0,,15.0,,42.0,839.0,,,,,174092.0,,76.0,,57.0,993.0,,68.0,16.0,,11.0,,,,,,4.0,,,,,679.0,,8.0,,10.0,101.0,,4.0,,,3.0,175.0,12.0,5.0,,,,,,,173.0,4.0,,3.0,,,,,,,,,,16.0,12.0,,,,698,,359,,316,88282.0,,9952.0,168.0,,,365.0,,,3988,,465.0,303.0,,,399.0,679,474,,184.0,96.0,710.0,,,,370.0,651.0,,21.0,48.0,3340,,778,,1960,20084.0,,2734.0,52.0,,,656.0,,,,39.0,,4.0,3364.0,,618.0,42.0,,,436.0,,,,9.0,,27.0,5696,364,,579.0,88.0,1227.0,,5.0,,,,,,212.0,701.0,,,,,,,,,,,,,,,,,,,,,,152.0,,,,12.0,132.0,,,,,,,,,,,,,,,,47.0,,,,1.0,66.0,,,,42.0,,,,,,,,,20.0,,,,,,,,,,,,28.0,,20.0,,,,,,2132.0,,688.0,96.0,,,143.0,,1727.0,,208.0,921.0,,,416.0,,,,20.0,268.0,,18.0,346.0,1316,,190.0,,,24.0,,,,1163.0,,1052.0,,,,133.0,,,,1.0,,2534.0,,502.0,24.0,,,250.0,,,,17.0,8.0,59.0,,,,,368.0,,,,,,,529.0,1044.0,,34.0,,,,14.0,,34.0,3514
_250m_16_days_VI_Quality_2023065_aid0001,aid0001,2023-03-06 00:00:00+00:00,,,,,,,,,,,410.0,,16.0,,17.0,12460.0,,320.0,,,151234.0,,367.0,,145.0,10611.0,,188.0,,,,,,,,,105.0,,,,7.0,708.0,,15.0,,51.0,396.0,,57.0,,,10.0,12.0,4.0,8.0,,,,4.0,,,20.0,12.0,,,,,,,,,,7.0,1.0,25.0,4.0,,7.0,,1876,,427,,230,95737.0,,2368.0,,,,126.0,,,5486,,242.0,8.0,,,279.0,277,160,,40.0,100.0,491.0,,10.0,,175.0,300.0,,6.0,143.0,8440,12.0,1343,,3368,19374.0,,795.0,,,,100.0,,,,,,,5334.0,,414.0,,,,410.0,,2.0,,,,,1638,587,,76.0,173.0,1375.0,,14.0,,,,,,192.0,439.0,,12.0,,,,,,,,,,,,,,,,,,,,42.0,,,,40.0,152.0,,8.0,,,12.0,,,,,,20.0,,,,,158.0,,,,14.0,111.0,,9.0,,20.0,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,3065.0,,230.0,,,,70.0,,1818.0,,218.0,24.0,,,708.0,,,,43.0,96.0,,16.0,271.0,638,,25.0,56.0,,4.0,,,308.0,2001.0,,250.0,,,,84.0,,,,11.0,11.0,3398.0,,317.0,24.0,,,836.0,,,,11.0,,13.0,,,,48.0,137.0,,,,,,,370.0,536.0,,12.0,,,,,,,3610
_250m_16_days_VI_Quality_2023081_aid0001,aid0001,2023-03-22 00:00:00+00:00,,,,,,,,1.0,,,920.0,,120.0,,178.0,3632.0,,136.0,,,120497.0,,22968.0,,60.0,7556.0,,1903.0,,,24.0,,,,,,48.0,,24.0,,,3808.0,,1054.0,,5.0,2492.0,4.0,308.0,,,36.0,463.0,112.0,47.0,,,,,,,31.0,20.0,,1.0,,,,,,,36.0,,,177.0,57.0,,21.0,,4781,,2249,,828,69232.0,,25664.0,8.0,,,107.0,,,8436,,4368.0,29.0,,,411.0,1285,806,,133.0,4.0,72.0,,,,44.0,162.0,,2.0,33.0,7950,,2278,,4249,15545.0,,5404.0,,,,196.0,,,14.0,,,18.0,6515.0,,1272.0,47.0,,,590.0,,11.0,,4.0,,31.0,2167,806,,508.0,84.0,252.0,,,,,,,,115.0,140.0,,5.0,,,15.0,,16.0,,,,,,,,,,,,,,,124.0,,132.0,,,35.0,,212.0,,,,4.0,,,,,,,,,,284.0,,40.0,,,593.0,12.0,61.0,,44.0,,,,,,,,,14.0,,6.0,,,,,,,45.0,,23.0,187.0,12.0,16.0,,,,,,1189.0,,756.0,,,,46.0,,1727.0,,677.0,24.0,,,155.0,,,,,4.0,,,24.0,78,,1.0,54.0,,,,,10.0,908.0,,281.0,4.0,,,59.0,,2.0,,,21.0,2384.0,,457.0,64.0,,,206.0,,19.0,,,,110.0,,,,24.0,92.0,,2.0,,,,,150.0,200.0,,4.0,,,,62.0,,24.0,3710
_250m_16_days_VI_Quality_2023097_aid0001,aid0001,2023-04-07 00:00:00+00:00,,,1.0,,,,,,,,220.0,,,,64.0,35936.0,,12.0,,,129206.0,,164.0,,3.0,144.0,,84.0,,,,,,,,,16.0,,,,,368.0,,16.0,,12.0,36.0,,4.0,,,,24.0,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,769,,309,,68,104982.0,69.0,15281.0,,,,57.0,,,1618,12.0,754.0,,,,73.0,25,61,,,,44.0,,,,,30.0,,,3322.0,6243,131.0,1134,,356,25989.0,132.0,5882.0,,,,93.0,,,,,,,2475.0,16.0,1294.0,,,,103.0,,,,,,,130,64,,,,34.0,,,,,,,,,60.0,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,48.0,,8.0,,,,,,,,,,,,,,155.0,,,,21.0,16.0,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,571.0,,643.0,,,,21.0,,711.0,,564.0,,,,111.0,,,,,108.0,,,,399,,,336.0,,64.0,,,24.0,898.0,63.0,624.0,,,,34.0,,,,,1.0,1168.0,48.0,1239.0,,,,154.0,,,,,,,,,,,36.0,,,,,,,,300.0,,,,,,,,,3452
_250m_16_days_VI_Quality_2023113_aid0001,aid0001,2023-04-23 00:00:00+00:00,,,,,,,,,,,432.0,,7.0,,34.0,46960.0,,1012.0,,,114872.0,,3051.0,,46.0,661.0,,1045.0,,,15.0,,,,,,137.0,,,,,664.0,,8.0,,56.0,72.0,,12.0,,,8.0,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2659,,144,,476,97018.0,4.0,15280.0,,,,447.0,,,4614,28.0,405.0,,,,482.0,75,44,,16.0,,199.0,,1.0,,,20.0,,,336.0,9244,,402,,1554,18531.0,,6477.0,12.0,,,472.0,,,,50.0,,78.0,5995.0,337.0,426.0,4.0,,,790.0,,4.0,,,,4.0,1040,94,,56.0,28.0,156.0,,12.0,,,,,3.0,16.0,62.0,,,,,,,,,,,,,,,,,16.0,,,,,41.0,,,,23.0,,,20.0,,,,,,,,,4.0,8.0,,,,115.0,4.0,,,97.0,33.0,,8.0,8.0,9.0,,,,,,,,,,,,,,,,,,,,4.0,12.0,,,,,,,,297.0,,689.0,,,,182.0,,411.0,4.0,387.0,,,,338.0,,,,,10.0,,6.0,52.0,68,,28.0,122.0,156.0,,,,368.0,373.0,,1085.0,,,,194.0,,,,14.0,73.0,993.0,269.0,482.0,,,,953.0,,9.0,,16.0,,19.0,,,,,22.0,,1.0,,,,,70.0,84.0,,17.0,,,,,,2.0,3566
_250m_16_days_VI_Quality_2023129_aid0001,aid0001,2023-05-09 00:00:00+00:00,1.0,1.0,,1.0,,,,,5.0,,557.0,1867.0,4.0,,,4852.0,4.0,26693.0,,,68420.0,,26497.0,12.0,,5590.0,,13681.0,,,,,,16.0,,,72.0,,12.0,,,756.0,,,,,781.0,52.0,184.0,20.0,,,299.0,360.0,1.0,,340.0,,288.0,1304.0,,241.0,76.0,,,,,,,,,12.0,4.0,,20.0,52.0,,,,3213,105.0,619,,64,35840.0,247.0,81136.0,,,,7.0,,,1688,94.0,2392.0,,,,109.0,928,426,,9.0,2754.0,792.0,,4.0,,47.0,251.0,,28.0,642.0,7592,,2471,,343,6791.0,430.0,14993.0,44.0,,,76.0,,,,,,,2886.0,530.0,3091.0,,,,178.0,6.0,,,,,,2955,712,,74.0,339.0,98.0,,1.0,,,,,,115.0,497.0,,9.0,,,,,,,,1.0,,,,,,,,,36.0,,,20.0,,4.0,,,118.0,,200.0,,,,,,,,,,,,,,68.0,32.0,,,,489.0,36.0,92.0,60.0,,,,,,,,,,,,,,,,,,,,9.0,7.0,76.0,200.0,,,,,,,450.0,33.0,3736.0,,,,,,692.0,103.0,2572.0,,,,27.0,,,,35.0,52.0,,,120.0,478,,5.0,90.0,20.0,,,,2.0,459.0,70.0,2013.0,,,,3.0,,,,,,967.0,501.0,3157.0,,,,69.0,2.0,,,,,,8.0,16.0,,15.0,53.0,,3.0,,,,,74.0,387.0,,4.0,,,,,,,3396
_250m_16_days_VI_Quality_2023145_aid0001,aid0001,2023-05-25 00:00:00+00:00,2.0,,,,,,,,,,3010.0,24.0,64.0,,116.0,2392.0,,,,,58444.0,,152.0,,25.0,39548.0,56.0,26887.0,,,,,20.0,,,,84.0,,,,,11893.0,20.0,,,33.0,13710.0,172.0,815.0,72.0,,16.0,1196.0,165.0,5.0,,,,,,,1255.0,2400.0,,,,12.0,,,,,84.0,,,960.0,1533.0,,,,13417,,518,,581,35699.0,7.0,42457.0,,,,45.0,,,13695,72.0,1861.0,4.0,,,190.0,2116,813,,91.0,120.0,1428.0,,,,243.0,408.0,,4.0,1332.0,14156,,523,,2788,6664.0,40.0,4917.0,,,,32.0,,,,,,,5660.0,580.0,927.0,,,,393.0,,,,,,,2482,1213,,251.0,358.0,749.0,,,,,,,,369.0,464.0,,7.0,,,,,,,,,,,,,,,12.0,,,,,496.0,,,,,337.0,4.0,298.0,,,12.0,,,,,,4.0,,,,,1376.0,20.0,,,50.0,3184.0,56.0,88.0,16.0,25.0,,,,,,,,,,112.0,,,,,,,,,,,252.0,468.0,,,,,,,787.0,24.0,2826.0,,,,38.0,,2218.0,191.0,1376.0,,,,170.0,,,,,64.0,,,40.0,600,,7.0,69.0,24.0,,,,120.0,287.0,129.0,862.0,,,,7.0,,,,,,2551.0,1102.0,1321.0,20.0,,,903.0,,,,,,4.0,,35.0,,36.0,,,,,,,,266.0,479.0,,26.0,,,,,,4.0,3522
_250m_16_days_VI_Quality_2023161_aid0001,aid0001,2023-06-10 00:00:00+00:00,,4.0,,,,,,,,,23545.0,,7679.0,,4.0,530.0,,,,2.0,692.0,,5398.0,,,787.0,264.0,53684.0,,,,,72.0,,4.0,,411.0,,,,1.0,1092.0,64.0,960.0,,1.0,1168.0,2988.0,14002.0,150.0,,20.0,17735.0,6031.0,4.0,64.0,,,156.0,220.0,,687.0,868.0,,,60.0,,,444.0,,,1281.0,172.0,1.0,7376.0,2050.0,,,,34857,,20481,,44,2964.0,,7802.0,,,,5.0,,,1571,,5168.0,36.0,,,,31075,7218,,71.0,32.0,212.0,,,,114.0,372.0,,10.0,,25779,,6486,,315,752.0,,360.0,,,,24.0,,,,,,,533.0,,116.0,,,,7.0,,3.0,,,,2.0,14605,3550,,92.0,56.0,,,,,,,,,87.0,,,,,,,,,,,,,,8.0,,,,88.0,,,,,164.0,,216.0,,,417.0,284.0,1045.0,,,,20.0,263.0,,11.0,,259.0,,,,,1225.0,40.0,112.0,,1.0,1379.0,4613.0,4191.0,368.0,,,,44.0,,,40.0,,,802.0,236.0,,156.0,29.0,,191.0,,,593.0,4.0,,6648.0,2284.0,,,,,,,406.0,,756.0,,,,,,1306.0,112.0,980.0,48.0,,,2.0,,,,59.0,136.0,,1.0,212.0,206,,2.0,,,36.0,,,,4.0,,36.0,,,,,,,,,,258.0,11.0,240.0,4.0,,,1.0,,13.0,2.0,,,4.0,,,,,48.0,,,,,,,28.0,76.0,,,,,,,,12.0,3545
_250m_16_days_VI_Quality_2023177_aid0001,aid0001,2023-06-26 00:00:00+00:00,,,,,,,,,,,52479.0,,38327.0,,57.0,452.0,,,,,636.0,200.0,160.0,,,44.0,28.0,36.0,,,,,423.0,22.0,1426.0,,200.0,48.0,,,,1764.0,1233.0,88.0,145.0,1.0,663.0,1046.0,40.0,1334.0,,14.0,17014.0,4559.0,13.0,392.0,,,3353.0,174.0,,44.0,36.0,,,246.0,1620.0,,604.0,,,7371.0,635.0,2.0,1840.0,718.0,,56.0,80.0,40811,524.0,44852,,222,128.0,,,,,,,,,1163,136.0,3932.0,377.0,,,4.0,8398,7069,,127.0,140.0,94.0,,,,192.0,645.0,,8.0,,21518,,19761,,513,,,,,,,,,,,,,,55.0,,,,,,1.0,,,,,,,6001,4922,,362.0,,17.0,,,,,,,,40.0,16.0,,,,,,,,,,,,,,,52.0,,248.0,,,,,404.0,36.0,136.0,,,,20.0,124.0,,,,40.0,889.0,248.0,1133.0,,268.0,,,,,2594.0,1086.0,362.0,52.0,6.0,527.0,2815.0,705.0,1966.0,8.0,112.0,588.0,136.0,,,1063.0,564.0,,208.0,112.0,,967.0,1381.0,,616.0,,,8563.0,1192.0,20.0,4305.0,1901.0,13.0,,,372.0,,,236.0,,76.0,,,,,,1538.0,135.0,3303.0,1522.0,,,8.0,,16.0,,32.0,94.0,,,452.0,1086,,35.0,,,,,,,,,,,,,,,,,,,159.0,44.0,,,,,1.0,,,,,,,,,,,,,,,,,,54.0,16.0,,,,,,,,,3475
_250m_16_days_VI_Quality_2023193_aid0001,aid0001,2023-07-12 00:00:00+00:00,1.0,,,,,,,6.0,,,34835.0,,12795.0,,15.0,1531.0,16.0,20.0,,2.0,1954.0,22.0,1140.0,48.0,,,12.0,,,,,33.0,169.0,89.0,355.0,4.0,6015.0,124.0,558.0,4.0,13.0,13144.0,1571.0,2734.0,888.0,22.0,233.0,681.0,365.0,299.0,,,25272.0,5499.0,12.0,978.0,,,957.0,508.0,,32.0,64.0,,,154.0,699.0,,4500.0,332.0,8.0,15129.0,2197.0,,1293.0,930.0,,1.0,64.0,50446,812.0,20089,,469,1910.0,4.0,978.0,,,,107.0,,,6699,84.0,3067.0,113.0,,,149.0,13810,4399,,333.0,56.0,68.0,,,,189.0,676.0,,12.0,221.0,24803,,6928,,1197,1179.0,,44.0,,,,126.0,,,,,,,2867.0,49.0,243.0,10.0,,,558.0,,,,,4.0,,9732,2842,,739.0,20.0,,,,,,,,,112.0,34.0,,6.0,,,,,1.0,,,,,,,,,,216.0,,,,,569.0,,512.0,,,40.0,,,,,,56.0,293.0,36.0,464.0,,2852.0,68.0,96.0,2.0,6.0,10433.0,1139.0,2531.0,402.0,16.0,621.0,909.0,609.0,470.0,,4.0,124.0,24.0,,,300.0,184.0,,19.0,57.0,,373.0,1057.0,,779.0,70.0,,11130.0,1497.0,,2042.0,1385.0,,20.0,,376.0,,,117.0,,148.0,,,,9.0,,2753.0,275.0,3043.0,254.0,,,71.0,,54.0,11.0,20.0,20.0,,,294.0,1216,,9.0,,,30.0,,,10.0,,,,,,,,,,,,,583.0,153.0,310.0,12.0,,,164.0,,,,8.0,8.0,4.0,,,,,,,,,,,,91.0,261.0,,30.0,,,,4.0,,,3510
