File,aid,Date,2,17,65,81,97,129,145
QC_Day_2022361_aid0001,aid0001,2022-12-27 00:00:00+00:00,4252.0,8.0,7598.0,61.0,,,
QC_Day_2023001_aid0001,aid0001,2023-01-01 00:00:00+00:00,271.0,8.0,5122.0,35.0,,,11.0
QC_Day_2023009_aid0001,aid0001,2023-01-09 00:00:00+00:00,85.0,20.0,3725.0,44.0,,,7.0
QC_Day_2023017_aid0001,aid0001,2023-01-17 00:00:00+00:00,7890.0,,7367.0,8.0,,,1.0
QC_Day_2023025_aid0001,aid0001,2023-01-25 00:00:00+00:00,99.0,8.0,4727.0,34.0,,,15.0
QC_Day_2023033_aid0001,aid0001,2023-02-02 00:00:00+00:00,92.0,2.0,10663.0,35.0,,,21.0
QC_Day_2023041_aid0001,aid0001,2023-02-10 00:00:00+00:00,,29.0,542.0,31.0,,,
QC_Day_2023049_aid0001,aid0001,2023-02-18 00:00:00+00:00,2.0,4.0,8134.0,41.0,,,
QC_Day_2023057_aid0001,aid0001,2023-02-26 00:00:00+00:00,,11.0,2334.0,34.0,,,2.0
QC_Day_2023065_aid0001,aid0001,2023-03-06 00:00:00+00:00,,5.0,5.0,33.0,,,
QC_Day_2023073_aid0001,aid0001,2023-03-14 00:00:00+00:00,125.0,33.0,3602.0,40.0,,,26.0
QC_Day_2023081_aid0001,aid0001,2023-03-22 00:00:00+00:00,,13.0,1984.0,28.0,,,
QC_Day_2023089_aid0001,aid0001,2023-03-30 00:00:00+00:00,,12.0,3169.0,22.0,,,
QC_Day_2023097_aid0001,aid0001,2023-04-07 00:00:00+00:00,,13.0,,30.0,,,
QC_Day_2023105_aid0001,aid0001,2023-04-15 00:00:00+00:00,1.0,5.0,1418.0,33.0,,,
QC_Day_2023113_aid0001,aid0001,2023-04-23 00:00:00+00:00,124.0,9.0,6099.0,24.0,,,
QC_Day_2023121_aid0001,aid0001,2023-05-01 00:00:00+00:00,,7.0,755.0,34.0,,,
QC_Day_2023129_aid0001,aid0001,2023-05-09 00:00:00+00:00,1.0,6.0,1889.0,37.0,,,
QC_Day_2023137_aid0001,aid0001,2023-05-17 00:00:00+00:00,60.0,22.0,3413.0,30.0,,,
QC_Day_2023145_aid0001,aid0001,2023-05-25 00:00:00+00:00,2.0,,14520.0,28.0,,15.0,12.0
QC_Day_2023153_aid0001,aid0001,2023-06-02 00:00:00+00:00,,5.0,5911.0,46.0,,,3.0
QC_Day_2023161_aid0001,aid0001,2023-06-10 00:00:00+00:00,10693.0,11.0,3960.0,29.0,,181.0,3.0
QC_Day_2023169_aid0001,aid0001,2023-06-18 00:00:00+00:00,12113.0,,3687.0,,,15.0,
QC_Day_2023177_aid0001,aid0001,2023-06-26 00:00:00+00:00,14308.0,,974.0,,,601.0,13.0
QC_Day_2023185_aid0001,aid0001,2023-07-04 00:00:00+00:00,13812.0,,1653.0,7.0,17.0,578.0,
QC_Day_2023193_aid0001,aid0001,2023-07-12 00:00:00+00:00,12254.0,,3666.0,16.0,,19.0,10.0
QC_Day_2023201_aid0001,aid0001,2023-07-20 00:00:00+00:00,14437.0,,1305.0,16.0,,372.0,
QC_Day_2023209_aid0001,aid0001,2023-07-28 00:00:00+00:00,14838.0,,942.0,,,194.0,
QC_Day_2023217_aid0001,aid0001,2023-08-05 00:00:00+00:00,16030.0,,100.0,,,,
QC_Day_2023225_aid0001,aid0001,2023-08-13 00:00:00+00:00,14056.0,,1130.0,,3.0,843.0,
QC_Day_2023233_aid0001,aid0001,2023-08-21 00:00:00+00:00,14756.0,,1349.0,3.0,6.0,,
QC_Day_2023241_aid0001,aid0001,2023-08-29 00:00:00+00:00,446.0,2.0,13352.0,10.0,,561.0,21.0
QC_Day_2023249_aid0001,aid0001,2023-09-06 00:00:00+00:00,2442.0,,12574.0,36.0,2.0,25.0,10.0
QC_Day_2023257_aid0001,aid0001,2023-09-14 00:00:00+00:00,186.0,1.0,14965.0,32.0,,67.0,8.0
QC_Day_2023265_aid0001,aid0001,2023-09-22 00:00:00+00:00,3627.0,,8424.0,2.0,,3271.0,8.0
QC_Day_2023273_aid0001,aid0001,2023-09-30 00:00:00+00:00,12942.0,,3089.0,2.0,,6.0,
QC_Day_2023281_aid0001,aid0001,2023-10-08 00:00:00+00:00,377.0,9.0,12021.0,39.0,,4.0,
QC_Day_2023289_aid0001,aid0001,2023-10-16 00:00:00+00:00,8.0,3.0,9685.0,45.0,,,3.0
QC_Day_2023297_aid0001,aid0001,2023-10-24 00:00:00+00:00,,17.0,707.0,34.0,,,
QC_Day_2023305_aid0001,aid0001,2023-11-01 00:00:00+00:00,28.0,,10689.0,38.0,,,5.0
QC_Day_2023313_aid0001,aid0001,2023-11-09 00:00:00+00:00,,15.0,184.0,36.0,,,
QC_Day_2023321_aid0001,aid0001,2023-11-17 00:00:00+00:00,,10.0,7100.0,45.0,,,
QC_Day_2023329_aid0001,aid0001,2023-11-25 00:00:00+00:00,,25.0,308.0,30.0,,,
QC_Day_2023337_aid0001,aid0001,2023-12-03 00:00:00+00:00,700.0,2.0,8008.0,40.0,,337.0,
QC_Day_2023345_aid0001,aid0001,2023-12-11 00:00:00+00:00,7.0,27.0,5643.0,38.0,,,
QC_Day_2023353_aid0001,aid0001,2023-12-19 00:00:00+00:00,,9.0,2689.0,42.0,,,
QC_Day_2023361_aid0001,aid0001,2023-12-27 00:00:00+00:00,,17.0,1031.0,31.0,,,
QC_Day_2024001_aid0001,aid0001,2024-01-01 00:00:00+00:00,58.0,19.0,2297.0,35.0,,,
QC_Day_2024009_aid0001,aid0001,2024-01-09 00:00:00+00:00,12555.0,,1837.0,3.0,,,
QC_Day_2024017_aid0001,aid0001,2024-01-17 00:00:00+00:00,2199.0,7.0,10532.0,27.0,,,27.0
QC_Day_2024025_aid0001,aid0001,2024-01-25 00:00:00+00:00,1454.0,,12805.0,18.0,,,29.0
QC_Day_2024033_aid0001,aid0001,2024-02-02 00:00:00+00:00,1174.0,1.0,9930.0,36.0,,,13.0
QC_Day_2024041_aid0001,aid0001,2024-02-10 00:00:00+00:00,,11.0,2961.0,47.0,,,1.0
QC_Day_2024049_aid0001,aid0001,2024-02-18 00:00:00+00:00,3.0,22.0,2646.0,53.0,,,
QC_Day_2024057_aid0001,aid0001,2024-02-26 00:00:00+00:00,,12.0,1435.0,38.0,,,
QC_Day_2024065_aid0001,aid0001,2024-03-05 00:00:00+00:00,,22.0,1.0,21.0,,,
QC_Day_2024073_aid0001,aid0001,2024-03-13 00:00:00+00:00,,16.0,199.0,35.0,,,
QC_Day_2024081_aid0001,aid0001,2024-03-21 00:00:00+00:00,1152.0,45.0,4440.0,36.0,,,
QC_Day_2024089_aid0001,aid0001,2024-03-29 00:00:00+00:00,,18.0,737.0,38.0,,,
QC_Day_2024097_aid0001,aid0001,2024-04-06 00:00:00+00:00,,11.0,3065.0,33.0,,,
QC_Day_2024105_aid0001,aid0001,2024-04-14 00:00:00+00:00,,16.0,7812.0,35.0,,,
QC_Day_2024113_aid0001,aid0001,2024-04-22 00:00:00+00:00,,19.0,8.0,39.0,,,
QC_Day_2024121_aid0001,aid0001,2024-04-30 00:00:00+00:00,,7.0,4.0,27.0,,,
QC_Day_2024129_aid0001,aid0001,2024-05-08 00:00:00+00:00,1320.0,6.0,11869.0,31.0,,23.0,2.0
QC_Day_2024137_aid0001,aid0001,2024-05-16 00:00:00+00:00,1348.0,3.0,10534.0,36.0,,2283.0,9.0
QC_Day_2024145_aid0001,aid0001,2024-05-24 00:00:00+00:00,148.0,58.0,8118.0,38.0,,21.0,
QC_Day_2024153_aid0001,aid0001,2024-06-01 00:00:00+00:00,3867.0,2.0,10164.0,60.0,,8.0,
QC_Day_2024161_aid0001,aid0001,2024-06-09 00:00:00+00:00,9326.0,12.0,5906.0,26.0,,,
QC_Day_2024169_aid0001,aid0001,2024-06-17 00:00:00+00:00,12328.0,,2600.0,10.0,,711.0,
QC_Day_2024177_aid0001,aid0001,2024-06-25 00:00:00+00:00,15179.0,,357.0,,12.0,514.0,
QC_Day_2024185_aid0001,aid0001,2024-07-03 00:00:00+00:00,15870.0,,170.0,,,38.0,
QC_Day_2024193_aid0001,aid0001,2024-07-11 00:00:00+00:00,14813.0,,1067.0,,47.0,102.0,
QC_Day_2024201_aid0001,aid0001,2024-07-19 00:00:00+00:00,15210.0,,619.0,9.0,,258.0,
QC_Day_2024209_aid0001,aid0001,2024-07-27 00:00:00+00:00,15398.0,,553.0,10.0,,169.0,
QC_Day_2024217_aid0001,aid0001,2024-08-04 00:00:00+00:00,14975.0,,1138.0,3.0,8.0,5.0,
QC_Day_2024225_aid0001,aid0001,2024-08-12 00:00:00+00:00,9877.0,,5514.0,32.0,73.0,136.0,
QC_Day_2024233_aid0001,aid0001,2024-08-20 00:00:00+00:00,11847.0,,4039.0,3.0,,138.0,
QC_Day_2024241_aid0001,aid0001,2024-08-28 00:00:00+00:00,6733.0,,8462.0,35.0,9.0,300.0,
QC_Day_2024249_aid0001,aid0001,2024-09-05 00:00:00+00:00,34.0,1.0,12286.0,34.0,,41.0,6.0
QC_Day_2024257_aid0001,aid0001,2024-09-13 00:00:00+00:00,24.0,,12786.0,26.0,,2680.0,16.0
QC_Day_2024265_aid0001,aid0001,2024-09-21 00:00:00+00:00,163.0,39.0,8140.0,41.0,,1.0,
QC_Day_2024273_aid0001,aid0001,2024-09-29 00:00:00+00:00,11268.0,,3811.0,9.0,15.0,1002.0,
QC_Day_2024281_aid0001,aid0001,2024-10-07 00:00:00+00:00,1616.0,1.0,13355.0,43.0,,457.0,10.0
QC_Day_2024289_aid0001,aid0001,2024-10-15 00:00:00+00:00,2.0,21.0,5710.0,28.0,,,
QC_Day_2024297_aid0001,aid0001,2024-10-23 00:00:00+00:00,91.0,17.0,6917.0,42.0,,,
QC_Day_2024305_aid0001,aid0001,2024-10-31 00:00:00+00:00,35.0,,12652.0,32.0,,,11.0
QC_Day_2024313_aid0001,aid0001,2024-11-08 00:00:00+00:00,,18.0,5212.0,30.0,,,
QC_Day_2024321_aid0001,aid0001,2024-11-16 00:00:00+00:00,5.0,2.0,13856.0,28.0,,,4.0
QC_Day_2024329_aid0001,aid0001,2024-11-24 00:00:00+00:00,1.0,17.0,1696.0,43.0,,,
QC_Day_2024337_aid0001,aid0001,2024-12-02 00:00:00+00:00,17.0,6.0,6589.0,29.0,,,13.0
QC_Day_2024345_aid0001,aid0001,2024-12-10 00:00:00+00:00,,15.0,4059.0,41.0,,,3.0
QC_Day_2024353_aid0001,aid0001,2024-12-18 00:00:00+00:00,,23.0,822.0,32.0,,,
QC_Day_2024361_aid0001,aid0001,2024-12-26 00:00:00+00:00,,15.0,916.0,48.0,,,
QC_Day_2025001_aid0001,aid0001,2025-01-01 00:00:00+00:00,20.0,16.0,3060.0,34.0,,,
QC_Day_2025009_aid0001,aid0001,2025-01-09 00:00:00+00:00,370.0,13.0,3999.0,36.0,,,12.0
QC_Day_2025017_aid0001,aid0001,2025-01-17 00:00:00+00:00,2960.0,1.0,10764.0,18.0,,,11.0
QC_Day_2025025_aid0001,aid0001,2025-01-25 00:00:00+00:00,10819.0,,4850.0,16.0,,,7.0
QC_Day_2025033_aid0001,aid0001,2025-02-02 00:00:00+00:00,950.0,8.0,9634.0,57.0,,,8.0
QC_Day_2025041_aid0001,aid0001,2025-02-10 00:00:00+00:00,,12.0,3846.0,44.0,,,
QC_Day_2025049_aid0001,aid0001,2025-02-18 00:00:00+00:00,,2.0,4436.0,27.0,,,9.0
QC_Day_2025057_aid0001,aid0001,2025-02-26 00:00:00+00:00,,13.0,197.0,27.0,,,
QC_Day_2025065_aid0001,aid0001,2025-03-06 00:00:00+00:00,,18.0,1445.0,34.0,,,
QC_Day_2025073_aid0001,aid0001,2025-03-14 00:00:00+00:00,,11.0,1145.0,36.0,,,
QC_Day_2025081_aid0001,aid0001,2025-03-22 00:00:00+00:00,,10.0,135.0,38.0,,,
QC_Day_2025089_aid0001,aid0001,2025-03-30 00:00:00+00:00,,12.0,159.0,44.0,,,
QC_Day_2025097_aid0001,aid0001,2025-04-07 00:00:00+00:00,4.0,14.0,5405.0,19.0,,3.0,
QC_Day_2025105_aid0001,aid0001,2025-04-15 00:00:00+00:00,1052.0,4.0,12437.0,10.0,,370.0,
QC_Day_2025113_aid0001,aid0001,2025-04-23 00:00:00+00:00,1.0,6.0,4410.0,52.0,,,
QC_Day_2025121_aid0001,aid0001,2025-05-01 00:00:00+00:00,,1.0,6195.0,54.0,,,
QC_Day_2025129_aid0001,aid0001,2025-05-09 00:00:00+00:00,200.0,,13124.0,40.0,,49.0,7.0
QC_Day_2025137_aid0001,aid0001,2025-05-17 00:00:00+00:00,11572.0,,3907.0,11.0,,55.0,
QC_Day_2025145_aid0001,aid0001,2025-05-25 00:00:00+00:00,10488.0,,5459.0,10.0,,18.0,3.0
QC_Day_2025153_aid0001,aid0001,2025-06-02 00:00:00+00:00,300.0,,13512.0,40.0,,1518.0,1.0
QC_Day_2025161_aid0001,aid0001,2025-06-10 00:00:00+00:00,1921.0,1.0,11060.0,29.0,,797.0,24.0
QC_Day_2025169_aid0001,aid0001,2025-06-18 00:00:00+00:00,13710.0,,1947.0,15.0,,429.0,
QC_Day_2025177_aid0001,aid0001,2025-06-26 00:00:00+00:00,12054.0,,3410.0,3.0,,524.0,
QC_Day_2025185_aid0001,aid0001,2025-07-04 00:00:00+00:00,9917.0,,4777.0,3.0,,1167.0,
QC_Day_2025193_aid0001,aid0001,2025-07-12 00:00:00+00:00,13113.0,,2170.0,20.0,3.0,755.0,5.0
QC_Day_2025201_aid0001,aid0001,2025-07-20 00:00:00+00:00,14354.0,,1755.0,9.0,,1.0,
QC_Day_2025209_aid0001,aid0001,2025-07-28 00:00:00+00:00,14941.0,,366.0,,5.0,818.0,
QC_Day_2025217_aid0001,aid0001,2025-08-05 00:00:00+00:00,15667.0,,459.0,,4.0,,
QC_Day_2025225_aid0001,aid0001,2025-08-13 00:00:00+00:00,6037.0,6.0,8811.0,53.0,,922.0,2.0
QC_Day_2025233_aid0001,aid0001,2025-08-21 00:00:00+00:00,9217.0,,5898.0,4.0,,216.0,
QC_Day_2025241_aid0001,aid0001,2025-08-29 00:00:00+00:00,3745.0,,9505.0,28.0,,2676.0,
QC_Day_2025249_aid0001,aid0001,2025-09-06 00:00:00+00:00,13453.0,,2065.0,1.0,,416.0,
QC_Day_2025257_aid0001,aid0001,2025-09-14 00:00:00+00:00,7185.0,,8291.0,35.0,3.0,,10.0
QC_Day_2025265_aid0001,aid0001,2025-09-22 00:00:00+00:00,,1.0,11693.0,38.0,,1.0,1.0
