File,aid,Date,2,17,33,65,81,97,129,145,161
QC_Night_2022361_aid0001,aid0001,2022-12-27 00:00:00+00:00,16.0,30.0,,1524.0,42.0,,,,
QC_Night_2023001_aid0001,aid0001,2023-01-01 00:00:00+00:00,10.0,6.0,,2154.0,38.0,,,,
QC_Night_2023009_aid0001,aid0001,2023-01-09 00:00:00+00:00,,21.0,,342.0,27.0,,,,
QC_Night_2023017_aid0001,aid0001,2023-01-17 00:00:00+00:00,,14.0,,1743.0,30.0,,,1.0,
QC_Night_2023025_aid0001,aid0001,2023-01-25 00:00:00+00:00,,13.0,,2680.0,30.0,,,,
QC_Night_2023033_aid0001,aid0001,2023-02-02 00:00:00+00:00,,10.0,,1673.0,40.0,,,,
QC_Night_2023041_aid0001,aid0001,2023-02-10 00:00:00+00:00,,26.0,,746.0,19.0,,,,
QC_Night_2023049_aid0001,aid0001,2023-02-18 00:00:00+00:00,,21.0,,1597.0,22.0,,,,
QC_Night_2023057_aid0001,aid0001,2023-02-26 00:00:00+00:00,,24.0,,1626.0,20.0,,,,
QC_Night_2023065_aid0001,aid0001,2023-03-06 00:00:00+00:00,1.0,22.0,,940.0,33.0,,,,
QC_Night_2023073_aid0001,aid0001,2023-03-14 00:00:00+00:00,52.0,17.0,,1201.0,17.0,,,,
QC_Night_2023081_aid0001,aid0001,2023-03-22 00:00:00+00:00,,26.0,,834.0,26.0,,,,
QC_Night_2023089_aid0001,aid0001,2023-03-30 00:00:00+00:00,,8.0,,2908.0,41.0,,,,
QC_Night_2023097_aid0001,aid0001,2023-04-07 00:00:00+00:00,,38.0,,106.0,4.0,,,,
QC_Night_2023105_aid0001,aid0001,2023-04-15 00:00:00+00:00,,34.0,,106.0,,,,,
QC_Night_2023113_aid0001,aid0001,2023-04-23 00:00:00+00:00,,22.0,,2019.0,31.0,,,,
QC_Night_2023121_aid0001,aid0001,2023-05-01 00:00:00+00:00,,55.0,,802.0,2.0,,,,
QC_Night_2023129_aid0001,aid0001,2023-05-09 00:00:00+00:00,,43.0,,1463.0,5.0,,,,
QC_Night_2023137_aid0001,aid0001,2023-05-17 00:00:00+00:00,59.0,47.0,,2574.0,11.0,,,,
QC_Night_2023145_aid0001,aid0001,2023-05-25 00:00:00+00:00,,65.0,,365.0,,,,,
QC_Night_2023153_aid0001,aid0001,2023-06-02 00:00:00+00:00,,55.0,,395.0,3.0,,,,
QC_Night_2023161_aid0001,aid0001,2023-06-10 00:00:00+00:00,6136.0,24.0,,5574.0,49.0,,,,
QC_Night_2023169_aid0001,aid0001,2023-06-18 00:00:00+00:00,7373.0,47.0,,2567.0,30.0,,,,
QC_Night_2023177_aid0001,aid0001,2023-06-26 00:00:00+00:00,15250.0,,,837.0,29.0,,,,
QC_Night_2023185_aid0001,aid0001,2023-07-04 00:00:00+00:00,16130.0,,,,,,,,
QC_Night_2023193_aid0001,aid0001,2023-07-12 00:00:00+00:00,2088.0,20.0,10.0,2996.0,27.0,9.0,132.0,,4.0
QC_Night_2023201_aid0001,aid0001,2023-07-20 00:00:00+00:00,13327.0,,,2546.0,17.0,,,,
QC_Night_2023209_aid0001,aid0001,2023-07-28 00:00:00+00:00,16130.0,,,,,,,,
QC_Night_2023217_aid0001,aid0001,2023-08-05 00:00:00+00:00,16110.0,,,20.0,,,,,
QC_Night_2023225_aid0001,aid0001,2023-08-13 00:00:00+00:00,16089.0,,,41.0,,,,,
QC_Night_2023233_aid0001,aid0001,2023-08-21 00:00:00+00:00,10411.0,,1.0,1614.0,4.0,2.0,,,
QC_Night_2023241_aid0001,aid0001,2023-08-29 00:00:00+00:00,,81.0,,147.0,,,,,
QC_Night_2023249_aid0001,aid0001,2023-09-06 00:00:00+00:00,14554.0,2.0,,416.0,3.0,,,,
QC_Night_2023257_aid0001,aid0001,2023-09-14 00:00:00+00:00,,59.0,,150.0,,,,,
QC_Night_2023265_aid0001,aid0001,2023-09-22 00:00:00+00:00,7798.0,26.0,,3160.0,3.0,,697.0,,
QC_Night_2023273_aid0001,aid0001,2023-09-30 00:00:00+00:00,13855.0,,,2219.0,13.0,,,,
QC_Night_2023281_aid0001,aid0001,2023-10-08 00:00:00+00:00,115.0,37.0,,5179.0,10.0,,,,
QC_Night_2023289_aid0001,aid0001,2023-10-16 00:00:00+00:00,,38.0,,35.0,2.0,,,,
QC_Night_2023297_aid0001,aid0001,2023-10-24 00:00:00+00:00,,40.0,,66.0,,,,,
QC_Night_2023305_aid0001,aid0001,2023-11-01 00:00:00+00:00,,44.0,,139.0,1.0,,,,
QC_Night_2023313_aid0001,aid0001,2023-11-09 00:00:00+00:00,,32.0,,179.0,9.0,,,,
QC_Night_2023321_aid0001,aid0001,2023-11-17 00:00:00+00:00,,41.0,,156.0,,,,,
QC_Night_2023329_aid0001,aid0001,2023-11-25 00:00:00+00:00,,23.0,,395.0,26.0,,,,
QC_Night_2023337_aid0001,aid0001,2023-12-03 00:00:00+00:00,6164.0,25.0,,5176.0,38.0,,55.0,6.0,
QC_Night_2023345_aid0001,aid0001,2023-12-11 00:00:00+00:00,,22.0,,4.0,23.0,,,,
QC_Night_2023353_aid0001,aid0001,2023-12-19 00:00:00+00:00,,10.0,,1091.0,18.0,,,,
QC_Night_2023361_aid0001,aid0001,2023-12-27 00:00:00+00:00,2.0,14.0,,392.0,29.0,,,,
QC_Night_2024001_aid0001,aid0001,2024-01-01 00:00:00+00:00,,15.0,,819.0,37.0,,,,
QC_Night_2024009_aid0001,aid0001,2024-01-09 00:00:00+00:00,15234.0,,,826.0,,,,,
QC_Night_2024017_aid0001,aid0001,2024-01-17 00:00:00+00:00,4.0,24.0,,3834.0,30.0,,,,
QC_Night_2024025_aid0001,aid0001,2024-01-25 00:00:00+00:00,,14.0,,997.0,35.0,,,,
QC_Night_2024033_aid0001,aid0001,2024-02-02 00:00:00+00:00,,19.0,,1531.0,27.0,,,,
QC_Night_2024041_aid0001,aid0001,2024-02-10 00:00:00+00:00,,18.0,,1419.0,34.0,,,,
QC_Night_2024049_aid0001,aid0001,2024-02-18 00:00:00+00:00,,23.0,,691.0,26.0,,,,
QC_Night_2024057_aid0001,aid0001,2024-02-26 00:00:00+00:00,,25.0,,1065.0,14.0,,,,
QC_Night_2024065_aid0001,aid0001,2024-03-05 00:00:00+00:00,,46.0,,27.0,1.0,,,,
QC_Night_2024073_aid0001,aid0001,2024-03-13 00:00:00+00:00,,21.0,,2049.0,32.0,,,,
QC_Night_2024081_aid0001,aid0001,2024-03-21 00:00:00+00:00,80.0,32.0,,4239.0,43.0,,,,
QC_Night_2024089_aid0001,aid0001,2024-03-29 00:00:00+00:00,,61.0,,125.0,,,,,
QC_Night_2024097_aid0001,aid0001,2024-04-06 00:00:00+00:00,98.0,6.0,,6399.0,45.0,,,,
QC_Night_2024105_aid0001,aid0001,2024-04-14 00:00:00+00:00,,35.0,,1547.0,19.0,,,,
QC_Night_2024113_aid0001,aid0001,2024-04-22 00:00:00+00:00,,54.0,,,9.0,,,,
QC_Night_2024121_aid0001,aid0001,2024-04-30 00:00:00+00:00,,21.0,,1422.0,22.0,,,,
QC_Night_2024129_aid0001,aid0001,2024-05-08 00:00:00+00:00,196.0,39.0,,5283.0,9.0,,104.0,,
QC_Night_2024137_aid0001,aid0001,2024-05-16 00:00:00+00:00,15.0,69.0,,2196.0,5.0,,,,
QC_Night_2024145_aid0001,aid0001,2024-05-24 00:00:00+00:00,,54.0,,231.0,,,,,
QC_Night_2024153_aid0001,aid0001,2024-06-01 00:00:00+00:00,2200.0,5.0,,5988.0,8.0,,109.0,,
QC_Night_2024161_aid0001,aid0001,2024-06-09 00:00:00+00:00,14499.0,22.0,,1387.0,10.0,,,,
QC_Night_2024169_aid0001,aid0001,2024-06-17 00:00:00+00:00,16130.0,,,,,,,,
QC_Night_2024177_aid0001,aid0001,2024-06-25 00:00:00+00:00,16130.0,,,,,,,,
QC_Night_2024185_aid0001,aid0001,2024-07-03 00:00:00+00:00,16130.0,,,,,,,,
QC_Night_2024193_aid0001,aid0001,2024-07-11 00:00:00+00:00,15606.0,,,450.0,,,,,
QC_Night_2024201_aid0001,aid0001,2024-07-19 00:00:00+00:00,16119.0,,,11.0,,,,,
QC_Night_2024209_aid0001,aid0001,2024-07-27 00:00:00+00:00,8706.0,32.0,33.0,3818.0,30.0,15.0,,,
QC_Night_2024217_aid0001,aid0001,2024-08-04 00:00:00+00:00,16036.0,,,94.0,,,,,
QC_Night_2024225_aid0001,aid0001,2024-08-12 00:00:00+00:00,1454.0,80.0,12.0,1695.0,14.0,,,,
QC_Night_2024233_aid0001,aid0001,2024-08-20 00:00:00+00:00,14047.0,3.0,,1398.0,10.0,,,,
QC_Night_2024241_aid0001,aid0001,2024-08-28 00:00:00+00:00,8738.0,25.0,,2878.0,30.0,4.0,,,
QC_Night_2024249_aid0001,aid0001,2024-09-05 00:00:00+00:00,2930.0,73.0,4.0,2015.0,19.0,,,,
QC_Night_2024257_aid0001,aid0001,2024-09-13 00:00:00+00:00,1.0,41.0,,4435.0,14.0,,,,
QC_Night_2024265_aid0001,aid0001,2024-09-21 00:00:00+00:00,65.0,51.0,,1985.0,25.0,,,,
QC_Night_2024273_aid0001,aid0001,2024-09-29 00:00:00+00:00,15881.0,,,249.0,,,,,
QC_Night_2024281_aid0001,aid0001,2024-10-07 00:00:00+00:00,1986.0,37.0,,8124.0,27.0,3.0,414.0,,
QC_Night_2024289_aid0001,aid0001,2024-10-15 00:00:00+00:00,,52.0,,2426.0,10.0,,,,
QC_Night_2024297_aid0001,aid0001,2024-10-23 00:00:00+00:00,,33.0,,4173.0,9.0,,,,
QC_Night_2024305_aid0001,aid0001,2024-10-31 00:00:00+00:00,,45.0,,223.0,9.0,,,,
QC_Night_2024313_aid0001,aid0001,2024-11-08 00:00:00+00:00,,12.0,,169.0,28.0,,,,
QC_Night_2024321_aid0001,aid0001,2024-11-16 00:00:00+00:00,,30.0,,561.0,13.0,,,,
QC_Night_2024329_aid0001,aid0001,2024-11-24 00:00:00+00:00,,16.0,,524.0,24.0,,,,
QC_Night_2024337_aid0001,aid0001,2024-12-02 00:00:00+00:00,,12.0,,1670.0,38.0,,,,
QC_Night_2024345_aid0001,aid0001,2024-12-10 00:00:00+00:00,,13.0,,163.0,35.0,,,,
QC_Night_2024353_aid0001,aid0001,2024-12-18 00:00:00+00:00,,13.0,,1275.0,31.0,,,,
QC_Night_2024361_aid0001,aid0001,2024-12-26 00:00:00+00:00,,13.0,,757.0,34.0,,,,
QC_Night_2025001_aid0001,aid0001,2025-01-01 00:00:00+00:00,,13.0,,730.0,39.0,,,,
QC_Night_2025009_aid0001,aid0001,2025-01-09 00:00:00+00:00,,3.0,,1750.0,44.0,,,,
QC_Night_2025017_aid0001,aid0001,2025-01-17 00:00:00+00:00,,25.0,,535.0,24.0,,,,
QC_Night_2025025_aid0001,aid0001,2025-01-25 00:00:00+00:00,1.0,9.0,,4745.0,34.0,,,12.0,
QC_Night_2025033_aid0001,aid0001,2025-02-02 00:00:00+00:00,,13.0,,1808.0,31.0,,,,
QC_Night_2025041_aid0001,aid0001,2025-02-10 00:00:00+00:00,5.0,37.0,,1186.0,17.0,,,,
QC_Night_2025049_aid0001,aid0001,2025-02-18 00:00:00+00:00,,29.0,,570.0,26.0,,,,
QC_Night_2025057_aid0001,aid0001,2025-02-26 00:00:00+00:00,,18.0,,65.0,23.0,,,,
QC_Night_2025065_aid0001,aid0001,2025-03-06 00:00:00+00:00,,25.0,,547.0,14.0,,,,
QC_Night_2025073_aid0001,aid0001,2025-03-14 00:00:00+00:00,,29.0,,848.0,19.0,,,,
QC_Night_2025081_aid0001,aid0001,2025-03-22 00:00:00+00:00,,42.0,,193.0,,,,,
QC_Night_2025089_aid0001,aid0001,2025-03-30 00:00:00+00:00,,29.0,,1159.0,21.0,,,,
QC_Night_2025097_aid0001,aid0001,2025-04-07 00:00:00+00:00,107.0,29.0,,2500.0,17.0,,,,
QC_Night_2025105_aid0001,aid0001,2025-04-15 00:00:00+00:00,129.0,16.0,,8633.0,31.0,,79.0,,
QC_Night_2025113_aid0001,aid0001,2025-04-23 00:00:00+00:00,,36.0,,415.0,15.0,,,,
QC_Night_2025121_aid0001,aid0001,2025-05-01 00:00:00+00:00,242.0,38.0,,2929.0,2.0,,,,
QC_Night_2025129_aid0001,aid0001,2025-05-09 00:00:00+00:00,35.0,57.0,,1125.0,22.0,,,,
QC_Night_2025137_aid0001,aid0001,2025-05-17 00:00:00+00:00,15329.0,,,710.0,22.0,,64.0,,
QC_Night_2025145_aid0001,aid0001,2025-05-25 00:00:00+00:00,9029.0,33.0,,2599.0,6.0,,,,
QC_Night_2025153_aid0001,aid0001,2025-06-02 00:00:00+00:00,,45.0,,1446.0,,,,,
QC_Night_2025161_aid0001,aid0001,2025-06-10 00:00:00+00:00,13.0,62.0,,864.0,3.0,,,,
QC_Night_2025169_aid0001,aid0001,2025-06-18 00:00:00+00:00,16130.0,,,,,,,,
QC_Night_2025177_aid0001,aid0001,2025-06-26 00:00:00+00:00,3515.0,63.0,,3425.0,29.0,,,,
QC_Night_2025185_aid0001,aid0001,2025-07-04 00:00:00+00:00,20.0,110.0,,368.0,,,,,
QC_Night_2025193_aid0001,aid0001,2025-07-12 00:00:00+00:00,16130.0,,,,,,,,
QC_Night_2025201_aid0001,aid0001,2025-07-20 00:00:00+00:00,16130.0,,,,,,,,
QC_Night_2025209_aid0001,aid0001,2025-07-28 00:00:00+00:00,16101.0,,,29.0,,,,,
QC_Night_2025217_aid0001,aid0001,2025-08-05 00:00:00+00:00,15938.0,,,192.0,,,,,
QC_Night_2025225_aid0001,aid0001,2025-08-13 00:00:00+00:00,7892.0,21.0,,3059.0,32.0,,,,
QC_Night_2025233_aid0001,aid0001,2025-08-21 00:00:00+00:00,16130.0,,,,,,,,
QC_Night_2025241_aid0001,aid0001,2025-08-29 00:00:00+00:00,12532.0,6.0,,1987.0,14.0,,,,
QC_Night_2025249_aid0001,aid0001,2025-09-06 00:00:00+00:00,15871.0,,,259.0,,,,,
QC_Night_2025257_aid0001,aid0001,2025-09-14 00:00:00+00:00,16129.0,,,1.0,,,,,
QC_Night_2025265_aid0001,aid0001,2025-09-22 00:00:00+00:00,,62.0,,213.0,20.0,,,,
