File,aid,Date,2,17,65,81,97,129,145,161
QC_Day_2022361_aid0001,aid0001,2022-12-27 00:00:00+00:00,7090.0,,4328.0,12.0,,,12.0,
QC_Day_2023001_aid0001,aid0001,2023-01-01 00:00:00+00:00,80.0,6.0,4826.0,18.0,,,,
QC_Day_2023009_aid0001,aid0001,2023-01-09 00:00:00+00:00,2.0,5.0,1551.0,19.0,,,,
QC_Day_2023017_aid0001,aid0001,2023-01-17 00:00:00+00:00,49.0,,6083.0,29.0,,,,
QC_Day_2023025_aid0001,aid0001,2023-01-25 00:00:00+00:00,1.0,6.0,1737.0,22.0,,,,
QC_Day_2023033_aid0001,aid0001,2023-02-02 00:00:00+00:00,18.0,1.0,4637.0,17.0,,,8.0,
QC_Day_2023041_aid0001,aid0001,2023-02-10 00:00:00+00:00,,,1148.0,25.0,,,,
QC_Day_2023049_aid0001,aid0001,2023-02-18 00:00:00+00:00,653.0,,9822.0,6.0,,,17.0,
QC_Day_2023057_aid0001,aid0001,2023-02-26 00:00:00+00:00,,,656.0,23.0,,,,
QC_Day_2023065_aid0001,aid0001,2023-03-06 00:00:00+00:00,,,1495.0,24.0,,,,
QC_Day_2023073_aid0001,aid0001,2023-03-14 00:00:00+00:00,2624.0,,8036.0,,,69.0,20.0,
QC_Day_2023081_aid0001,aid0001,2023-03-22 00:00:00+00:00,21.0,18.0,6039.0,4.0,,,,
QC_Day_2023089_aid0001,aid0001,2023-03-30 00:00:00+00:00,23.0,13.0,6085.0,10.0,,,,
QC_Day_2023097_aid0001,aid0001,2023-04-07 00:00:00+00:00,,4.0,,19.0,,,,
QC_Day_2023105_aid0001,aid0001,2023-04-15 00:00:00+00:00,,4.0,1612.0,21.0,,,,
QC_Day_2023113_aid0001,aid0001,2023-04-23 00:00:00+00:00,9.0,,7959.0,24.0,,9.0,,
QC_Day_2023121_aid0001,aid0001,2023-05-01 00:00:00+00:00,390.0,,9147.0,16.0,,249.0,8.0,
QC_Day_2023129_aid0001,aid0001,2023-05-09 00:00:00+00:00,1698.0,,6841.0,9.0,,389.0,12.0,
QC_Day_2023137_aid0001,aid0001,2023-05-17 00:00:00+00:00,3783.0,,6374.0,27.0,,42.0,,
QC_Day_2023145_aid0001,aid0001,2023-05-25 00:00:00+00:00,2.0,,7086.0,25.0,,2.0,,
QC_Day_2023153_aid0001,aid0001,2023-06-02 00:00:00+00:00,133.0,,9289.0,4.0,,657.0,24.0,
QC_Day_2023161_aid0001,aid0001,2023-06-10 00:00:00+00:00,11417.0,,222.0,,,,,
QC_Day_2023169_aid0001,aid0001,2023-06-18 00:00:00+00:00,4493.0,,5706.0,,,565.0,,
QC_Day_2023177_aid0001,aid0001,2023-06-26 00:00:00+00:00,10373.0,,798.0,,,468.0,,
QC_Day_2023185_aid0001,aid0001,2023-07-04 00:00:00+00:00,6718.0,1.0,3311.0,2.0,,634.0,,
QC_Day_2023193_aid0001,aid0001,2023-07-12 00:00:00+00:00,2755.0,,7221.0,4.0,,480.0,17.0,
QC_Day_2023201_aid0001,aid0001,2023-07-20 00:00:00+00:00,5800.0,,1834.0,,,3977.0,29.0,
QC_Day_2023209_aid0001,aid0001,2023-07-28 00:00:00+00:00,7042.0,,2094.0,,,2425.0,,
QC_Day_2023217_aid0001,aid0001,2023-08-05 00:00:00+00:00,11203.0,,14.0,,,423.0,,
QC_Day_2023225_aid0001,aid0001,2023-08-13 00:00:00+00:00,9580.0,,798.0,,,1212.0,,
QC_Day_2023233_aid0001,aid0001,2023-08-21 00:00:00+00:00,8671.0,,2697.0,,,,,
QC_Day_2023241_aid0001,aid0001,2023-08-29 00:00:00+00:00,1414.0,4.0,7324.0,22.0,,192.0,,
QC_Day_2023249_aid0001,aid0001,2023-09-06 00:00:00+00:00,1094.0,20.0,4943.0,6.0,,60.0,,
QC_Day_2023257_aid0001,aid0001,2023-09-14 00:00:00+00:00,75.0,,9355.0,15.0,,704.0,,
QC_Day_2023265_aid0001,aid0001,2023-09-22 00:00:00+00:00,1263.0,,8190.0,6.0,,1747.0,18.0,
QC_Day_2023273_aid0001,aid0001,2023-09-30 00:00:00+00:00,4179.0,,7129.0,9.0,,,,
QC_Day_2023281_aid0001,aid0001,2023-10-08 00:00:00+00:00,946.0,,6939.0,23.0,,42.0,,
QC_Day_2023289_aid0001,aid0001,2023-10-16 00:00:00+00:00,,5.0,1371.0,21.0,,,,
QC_Day_2023297_aid0001,aid0001,2023-10-24 00:00:00+00:00,,2.0,4150.0,21.0,,,,
QC_Day_2023305_aid0001,aid0001,2023-11-01 00:00:00+00:00,,1.0,1917.0,23.0,,,,
QC_Day_2023313_aid0001,aid0001,2023-11-09 00:00:00+00:00,,,2361.0,22.0,,,,
QC_Day_2023321_aid0001,aid0001,2023-11-17 00:00:00+00:00,24.0,2.0,5222.0,22.0,,,,
QC_Day_2023329_aid0001,aid0001,2023-11-25 00:00:00+00:00,3.0,9.0,1701.0,18.0,,,,
QC_Day_2023337_aid0001,aid0001,2023-12-03 00:00:00+00:00,501.0,,6389.0,10.0,,26.0,13.0,
QC_Day_2023345_aid0001,aid0001,2023-12-11 00:00:00+00:00,1.0,4.0,3586.0,23.0,,,,
QC_Day_2023353_aid0001,aid0001,2023-12-19 00:00:00+00:00,,7.0,4322.0,19.0,,,,
QC_Day_2023361_aid0001,aid0001,2023-12-27 00:00:00+00:00,,7.0,1983.0,20.0,,,,
QC_Day_2024001_aid0001,aid0001,2024-01-01 00:00:00+00:00,5.0,5.0,2579.0,21.0,,,,
QC_Day_2024009_aid0001,aid0001,2024-01-09 00:00:00+00:00,1953.0,,5598.0,16.0,,,11.0,
QC_Day_2024017_aid0001,aid0001,2024-01-17 00:00:00+00:00,61.0,,3471.0,23.0,,,7.0,
QC_Day_2024025_aid0001,aid0001,2024-01-25 00:00:00+00:00,149.0,2.0,7935.0,23.0,,,,
QC_Day_2024033_aid0001,aid0001,2024-02-02 00:00:00+00:00,6.0,,4018.0,27.0,,,,
QC_Day_2024041_aid0001,aid0001,2024-02-10 00:00:00+00:00,3.0,,3471.0,25.0,,,,
QC_Day_2024049_aid0001,aid0001,2024-02-18 00:00:00+00:00,21.0,4.0,2261.0,20.0,,,,
QC_Day_2024057_aid0001,aid0001,2024-02-26 00:00:00+00:00,,6.0,138.0,24.0,,,,
QC_Day_2024065_aid0001,aid0001,2024-03-05 00:00:00+00:00,,7.0,,22.0,,,,
QC_Day_2024073_aid0001,aid0001,2024-03-13 00:00:00+00:00,75.0,2.0,6312.0,22.0,,,,
QC_Day_2024081_aid0001,aid0001,2024-03-21 00:00:00+00:00,2051.0,,4310.0,,,,,
QC_Day_2024089_aid0001,aid0001,2024-03-29 00:00:00+00:00,91.0,,5565.0,19.0,,,,
QC_Day_2024097_aid0001,aid0001,2024-04-06 00:00:00+00:00,1.0,24.0,3897.0,,,,,
QC_Day_2024105_aid0001,aid0001,2024-04-14 00:00:00+00:00,,,2689.0,22.0,,,1.0,
QC_Day_2024113_aid0001,aid0001,2024-04-22 00:00:00+00:00,11.0,,7235.0,25.0,,,,
QC_Day_2024121_aid0001,aid0001,2024-04-30 00:00:00+00:00,,23.0,822.0,,,,,
QC_Day_2024129_aid0001,aid0001,2024-05-08 00:00:00+00:00,520.0,16.0,5769.0,7.0,,166.0,,
QC_Day_2024137_aid0001,aid0001,2024-05-16 00:00:00+00:00,564.0,,7437.0,5.0,,2784.0,15.0,
QC_Day_2024145_aid0001,aid0001,2024-05-24 00:00:00+00:00,54.0,4.0,1835.0,16.0,,11.0,,
QC_Day_2024153_aid0001,aid0001,2024-06-01 00:00:00+00:00,1788.0,,7136.0,28.0,,29.0,,
QC_Day_2024161_aid0001,aid0001,2024-06-09 00:00:00+00:00,6964.0,,3983.0,,,,,
QC_Day_2024169_aid0001,aid0001,2024-06-17 00:00:00+00:00,7863.0,,2555.0,2.0,,769.0,,
QC_Day_2024177_aid0001,aid0001,2024-06-25 00:00:00+00:00,10180.0,,672.0,,,507.0,,
QC_Day_2024185_aid0001,aid0001,2024-07-03 00:00:00+00:00,10236.0,,1136.0,,,206.0,,2.0
QC_Day_2024193_aid0001,aid0001,2024-07-11 00:00:00+00:00,6428.0,,4287.0,4.0,1.0,819.0,,
QC_Day_2024201_aid0001,aid0001,2024-07-19 00:00:00+00:00,6737.0,,2126.0,,,2714.0,22.0,
QC_Day_2024209_aid0001,aid0001,2024-07-27 00:00:00+00:00,6873.0,,4347.0,,,,18.0,
QC_Day_2024217_aid0001,aid0001,2024-08-04 00:00:00+00:00,10790.0,,598.0,,,252.0,,
QC_Day_2024225_aid0001,aid0001,2024-08-12 00:00:00+00:00,8024.0,,3401.0,,,5.0,,
QC_Day_2024233_aid0001,aid0001,2024-08-20 00:00:00+00:00,4980.0,6.0,5352.0,7.0,1.0,114.0,18.0,
QC_Day_2024241_aid0001,aid0001,2024-08-28 00:00:00+00:00,3349.0,,6430.0,,,1469.0,14.0,
QC_Day_2024249_aid0001,aid0001,2024-09-05 00:00:00+00:00,1543.0,,7081.0,9.0,,2054.0,16.0,
QC_Day_2024257_aid0001,aid0001,2024-09-13 00:00:00+00:00,690.0,,6524.0,7.0,,2760.0,18.0,
QC_Day_2024265_aid0001,aid0001,2024-09-21 00:00:00+00:00,6131.0,,4615.0,2.0,,259.0,,
QC_Day_2024273_aid0001,aid0001,2024-09-29 00:00:00+00:00,8105.0,,1541.0,,,1984.0,,
QC_Day_2024281_aid0001,aid0001,2024-10-07 00:00:00+00:00,6498.0,,4514.0,8.0,,150.0,,
QC_Day_2024289_aid0001,aid0001,2024-10-15 00:00:00+00:00,,,7446.0,28.0,,,,
QC_Day_2024297_aid0001,aid0001,2024-10-23 00:00:00+00:00,150.0,,9343.0,26.0,,2.0,1.0,
QC_Day_2024305_aid0001,aid0001,2024-10-31 00:00:00+00:00,13.0,6.0,7036.0,21.0,,,,
QC_Day_2024313_aid0001,aid0001,2024-11-08 00:00:00+00:00,,9.0,286.0,18.0,,,,
QC_Day_2024321_aid0001,aid0001,2024-11-16 00:00:00+00:00,,2.0,2584.0,24.0,,,,
QC_Day_2024329_aid0001,aid0001,2024-11-24 00:00:00+00:00,2.0,2.0,6229.0,22.0,,,,
QC_Day_2024337_aid0001,aid0001,2024-12-02 00:00:00+00:00,3.0,,3957.0,20.0,,,3.0,
QC_Day_2024345_aid0001,aid0001,2024-12-10 00:00:00+00:00,,,4101.0,20.0,,,,
QC_Day_2024353_aid0001,aid0001,2024-12-18 00:00:00+00:00,6.0,,6306.0,22.0,,,,
QC_Day_2024361_aid0001,aid0001,2024-12-26 00:00:00+00:00,9.0,,3862.0,22.0,,,,
QC_Day_2025001_aid0001,aid0001,2025-01-01 00:00:00+00:00,67.0,2.0,5546.0,21.0,,,2.0,
QC_Day_2025009_aid0001,aid0001,2025-01-09 00:00:00+00:00,2.0,10.0,3322.0,19.0,,,,
QC_Day_2025017_aid0001,aid0001,2025-01-17 00:00:00+00:00,20.0,,5475.0,23.0,,,,
QC_Day_2025025_aid0001,aid0001,2025-01-25 00:00:00+00:00,2254.0,,7957.0,3.0,,,17.0,
QC_Day_2025033_aid0001,aid0001,2025-02-02 00:00:00+00:00,,7.0,3653.0,25.0,,,,
QC_Day_2025041_aid0001,aid0001,2025-02-10 00:00:00+00:00,,7.0,1158.0,21.0,,,,
QC_Day_2025049_aid0001,aid0001,2025-02-18 00:00:00+00:00,,3.0,1508.0,26.0,,,,
QC_Day_2025057_aid0001,aid0001,2025-02-26 00:00:00+00:00,,6.0,424.0,21.0,,,,
QC_Day_2025065_aid0001,aid0001,2025-03-06 00:00:00+00:00,,,1868.0,26.0,,,,
QC_Day_2025073_aid0001,aid0001,2025-03-14 00:00:00+00:00,4.0,,3493.0,26.0,,,,
QC_Day_2025081_aid0001,aid0001,2025-03-22 00:00:00+00:00,,5.0,,23.0,,,,
QC_Day_2025089_aid0001,aid0001,2025-03-30 00:00:00+00:00,447.0,,7386.0,20.0,,,7.0,
QC_Day_2025097_aid0001,aid0001,2025-04-07 00:00:00+00:00,,,5829.0,29.0,,,,
QC_Day_2025105_aid0001,aid0001,2025-04-15 00:00:00+00:00,1767.0,,6353.0,25.0,,35.0,,
QC_Day_2025113_aid0001,aid0001,2025-04-23 00:00:00+00:00,3807.0,,7229.0,10.0,,,17.0,
QC_Day_2025121_aid0001,aid0001,2025-05-01 00:00:00+00:00,243.0,,8017.0,25.0,,21.0,,
QC_Day_2025129_aid0001,aid0001,2025-05-09 00:00:00+00:00,1602.0,,7820.0,4.0,,1605.0,23.0,
QC_Day_2025137_aid0001,aid0001,2025-05-17 00:00:00+00:00,5241.0,,4382.0,24.0,,,,
QC_Day_2025145_aid0001,aid0001,2025-05-25 00:00:00+00:00,9557.0,,1875.0,,,177.0,23.0,
QC_Day_2025153_aid0001,aid0001,2025-06-02 00:00:00+00:00,1233.0,,8335.0,2.0,,696.0,,
QC_Day_2025161_aid0001,aid0001,2025-06-10 00:00:00+00:00,396.0,,9414.0,25.0,,171.0,3.0,
QC_Day_2025169_aid0001,aid0001,2025-06-18 00:00:00+00:00,8567.0,,2897.0,3.0,,17.0,,
QC_Day_2025177_aid0001,aid0001,2025-06-26 00:00:00+00:00,7494.0,,3489.0,,,629.0,,
QC_Day_2025185_aid0001,aid0001,2025-07-04 00:00:00+00:00,7206.0,,2297.0,2.0,,1885.0,,
QC_Day_2025193_aid0001,aid0001,2025-07-12 00:00:00+00:00,6225.0,,4728.0,,,107.0,,
QC_Day_2025201_aid0001,aid0001,2025-07-20 00:00:00+00:00,10335.0,,200.0,,,1077.0,28.0,
QC_Day_2025209_aid0001,aid0001,2025-07-28 00:00:00+00:00,11249.0,,275.0,,2.0,114.0,,
QC_Day_2025217_aid0001,aid0001,2025-08-05 00:00:00+00:00,11525.0,,115.0,,,,,
QC_Day_2025225_aid0001,aid0001,2025-08-13 00:00:00+00:00,6008.0,,4918.0,13.0,,240.0,17.0,
QC_Day_2025233_aid0001,aid0001,2025-08-21 00:00:00+00:00,6730.0,,4309.0,,,457.0,,3.0
QC_Day_2025241_aid0001,aid0001,2025-08-29 00:00:00+00:00,844.0,2.0,8852.0,7.0,,1036.0,22.0,
QC_Day_2025249_aid0001,aid0001,2025-09-06 00:00:00+00:00,3207.0,,6712.0,,,793.0,,
QC_Day_2025257_aid0001,aid0001,2025-09-14 00:00:00+00:00,3791.0,,5209.0,,2.0,2354.0,15.0,
QC_Day_2025265_aid0001,aid0001,2025-09-22 00:00:00+00:00,471.0,,8867.0,3.0,,1421.0,18.0,
